AgencyName,ProgramName ,AgencyCode,ProgramCode
Department of the Interior,Payments to States in Lieu of Coal Fee Receipts,010,010-152
Department of the Interior,Supplemental Payments to UMWA Health Plans,010,010-153
Department of the Interior,Payments to the UMWA from AML Interest,010,010-154
Department of the Interior,Mandatory Grants to States and Tribes (AML),010,010-155
Department of the Interior,Federal Trust Programs,010,010-156
Department of the Interior,Tribal Special Fund,010,010-157
Department of the Interior,Tribal Trust Fund,010,010-158
Department of the Interior,Preparedness,010,010-159
Department of the Interior,Suppression Operations,010,010-160
Department of the Interior,Hazardous Fuels Reduction,010,010-161
Department of the Interior,Burned Area Rehabilitation,010,010-162
Department of the Interior,Facilities Construction and Maintenance,010,010-163
Department of the Interior,Joint Fire Science Program,010,010-164
Department of the Interior,Suppression Operations,010,010-165
Department of the Interior,Ecosystems,010,010-166
Department of the Interior,Climate and Land Use Change,010,010-167
Department of the Interior,"Energy, Minerals, and Environmental Health",010,010-168
Department of the Interior,Natural Hazards,010,010-169
Department of the Interior,Water Resources,010,010-170
Department of the Interior,Core Science Systems,010,010-171
Department of the Interior,Administration and Enterprise Information Science Support,010,010-172
Department of the Interior,Facilities,010,010-173
Department of Justice,Department Leadership,011,011-001
Department of Justice,Intergovernmental Relations,011,011-002
Department of Justice,Executive Support and Professional Responsibilities,011,011-003
Department of Justice,Justice Management Division,011,011-004
Department of Justice,Justice Information Sharing Technology,011,011-005
Department of Justice,Federal Prisoner Detention,011,011-006
Department of Justice,"OIG Audits, Inspections, Investigations, and Reviews",011,011-007
Department of Justice,Executive Office for Immigration Review (EOIR),011,011-008
Department of Justice,Office of Pardon Attorney (OPA),011,011-009
Department of Justice,U.S. Parole Commission (USPC),011,011-010
Department of Justice,Foreign Claims,011,011-011
Department of Justice,Office of the Solicitor General (OSG) – Federal Appellate Activity,011,011-012
Department of Justice,TAX Division (TAX) - General Tax Matters,011,011-013
Department of Justice,Criminal Division (CRM) - Enforcing Federal Criminal Laws,011,011-014
Department of Justice,Civil Division (CIV) - Legal Representation,011,011-015
Department of Justice,Environment and Natural Resources Division (ENRD) - Civil Litigation,011,011-016
Department of Justice,Environment and Natural Resources Division (ENRD) - Criminal Litigation,011,011-017
Department of Justice,Office of Legal Counsel (OLC) - Legal Counsel,011,011-018
Department of Justice,Civil Rights Division (CRT) - Civil Rights Enforcements,011,011-019
Department of Justice,INTERPOL Washington,011,011-020
Department of Justice,Fees and Expenses of Witnesses (FEW),011,011-021
Department of Justice,Antitrust Division (ATR),011,011-022
Department of Justice,Criminal Litigation,011,011-023
Department of Justice,Civil Litigation,011,011-024
Department of Justice,Legal Education,011,011-025
Department of Justice,Judicial and Courthouse Security,011,011-026
Department of Justice,Fugitive Apprehension,011,011-027
Department of Justice,Prisoner Security and Transportation,011,011-028
Department of Justice,Protection of Witnesses,011,011-029
Department of Justice,Tactical Operations,011,011-030
Department of Justice,U.S. Marshals Service - Construction,011,011-031
Department of Justice,September 11th Victims Compensation Fund,011,011-032
Department of Justice,Conflict Resolution and Violence Prevention Program Operations,011,011-033
Department of Justice,Investigative Expenses (Definite Authority),011,011-034
Department of Justice,Permanent (Indefinite Authority),011,011-035
Department of Justice,Administration of Cases,011,011-036
Department of Justice,National Security,011,011-037
Department of Justice,Investigations,011,011-038
Department of Justice,Prosecutions,011,011-039
Department of Justice,Intelligence,011,011-040
Department of Justice,Counterterrorism/Counterintelligence,011,011-041
Department of Justice,Criminal Enterprise/Federal Crimes,011,011-042
Department of Justice,Criminal Justice Services (CJS),011,011-043
Department of Justice,Federal Bureau of Investigation (Construction),011,011-044
Department of Justice,International Enforcement,011,011-045
Department of Justice,Domestic Enforcement,011,011-046
Department of Justice,State and Local Assistance,011,011-047
Department of Justice,"Drug Enforcement Administration, Construction",011,011-048
Department of Justice,Diversion Control Program,011,011-049
Department of Justice,Law Enforcement Operations (new for FY14),011,011-050
Department of Justice,Investigative Support Services (new for FY14),011,011-051
Department of Justice,"Bureau of Prison, Construction",011,011-052
Department of Justice,Modernization and Repair (M&R),011,011-053
Department of Justice,Inmate Care & Programs,011,011-054
Department of Justice,Institution Security and Administration,011,011-055
Department of Justice,Contract Confinement,011,011-056
Department of Justice,Management and Administration - BOP,011,011-057
Department of Justice,Federal Prison Industries (FPI),011,011-058
Department of Justice,Commissary Fund,011,011-059
Department of Justice,National Institute of Justice (NIJ),011,011-060
Department of Justice,Criminal Justice Statistical Program (Bureau of Justice Statistics) (BJS),011,011-061
Department of Justice,Regional Information Sharing System (RISS),011,011-062
Department of Justice,Evaluation Clearinghouse,011,011-063
Department of Justice,Justice Assistance Grants (JAG),011,011-064
Department of Justice,Presidential Nominating Conventions,011,011-065
Department of Justice,Byrne Competitive Grants,011,011-066
Department of Justice,State Criminal Alien Assistance Program (SCAAP),011,011-067
Department of Justice,Border Prosecution Initiatives,011,011-068
Department of Justice,Victims of Trafficking,011,011-069
Department of Justice,Residential Substance Abuse Treatment (RSAT) (Improving Reentry),011,011-070
Department of Justice,Drug Court Program,011,011-071
Department of Justice,Mentally Ill Offender Act,011,011-072
Department of Justice,Prescription Drug Monitoring Program,011,011-073
Department of Justice,Prison Rape Prevention and Prosecution Program,011,011-074
Department of Justice,Missing Alzheimer's Program,011,011-075
Department of Justice,Capital Litigation Improvement Grant Program,011,011-076
Department of Justice,Indian Assistance,011,011-077
Department of Justice,Court-Appointed Special Advocate,011,011-078
Department of Justice,National Instant Criminal Background Check System Record Improvement Program (NICS),011,011-079
Department of Justice,National Criminal History Improvement Program (NCHIP),011,011-080
Department of Justice,S&L Gun Crime Prosecution Assist/Gun Violence Reduction,011,011-081
Department of Justice,Second Chance/Prisoner Reentry,011,011-082
Department of Justice,DNA Initiative,011,011-083
Department of Justice,Children Exposed to Violence,011,011-084
Department of Justice,John R. Justice Student Loan Repayment Program,011,011-085
Department of Justice,Coverdell Forensic Science Grants,011,011-086
Department of Justice,National Sex Offender Public Website,011,011-087
Department of Justice,Adam Walsh Act Implementation,011,011-088
Department of Justice,Byrne Criminal Justice Innovation Program,011,011-089
Department of Justice,Consolidated Cybercrime and Economic Crime/Intellectual Property Enforcement Program,011,011-090
Department of Justice,Part B: Formula Grants,011,011-091
Department of Justice,Youth Mentoring,011,011-092
Department of Justice,Title V: Local Delinquency Prevention Incentive Grants,011,011-093
Department of Justice,National Forum on Youth Violence Prevention,011,011-094
Department of Justice,Community-Based Violence Prevention Initiatives,011,011-095
Department of Justice,Child Abuse Training for Judicial Personnel,011,011-096
Department of Justice,Victim of Crimes Act of 1984 (VOCA) - Improving the Investigation & Prosecution Of Child Abuse,011,011-097
Department of Justice,Juvenile Accountability Block Grant Program (JABG),011,011-098
Department of Justice,Missing and Exploited Children's Program (MECP),011,011-099
Department of Justice,Administrative Expenses,011,011-100
Department of Justice,Tribal Law Enforcement,011,011-101
Department of Justice,Methamphetamine Enforcement and Cleanup,011,011-102
Department of Justice,COPS Hiring Program,011,011-103
Department of Justice,Grants to Combat Violence Against Women (STOP),011,011-104
Department of Justice,Research and Evaluation Violence Against Women (NIJ),011,011-105
Department of Justice,Transitional Housing,011,011-106
Department of Justice,Consolidated Youth Oriented Program,011,011-107
Department of Justice,Grants to Encourage Arrest Policies,011,011-108
Department of Justice,Rural Domestic Violence & Child Abuse Enforcement Assistance,011,011-109
Department of Justice,Legal Assistance Program,011,011-110
Department of Justice,Enhancing Safety for Victims and their Children in Family Law Matters,011,011-111
Department of Justice,Campus Violence,011,011-112
Department of Justice,Disabilities Program,011,011-113
Department of Justice,Elder Program,011,011-114
Department of Justice,Sexual Assault Services (SASP),011,011-115
Department of Justice,Indian Country - Sexual Assault Clearinghouse,011,011-116
Department of Justice,National Resource Center on Workplace Responses,011,011-117
Department of Justice,Research on Violence Against Indian Women,011,011-118
Department of Justice,Crime Victims Fund,011,011-119
Department of Labor,Workforce Investment Act (WIA) Adult (ETA),012,012-001
Department of Labor,WIA Dislocated Worker (ETA),012,012-002
Department of Labor,WIA Youth (ETA),012,012-003
Department of Labor,Workforce Innovation Fund (ETA),012,012-004
Department of Labor,Indian and Native American Program (ETA),012,012-005
Department of Labor,Migrant and Seasonal Farmworker (ETA),012,012-006
Department of Labor,YouthBuild (ETA),012,012-007
Department of Labor,Reintegration of Ex-Offenders (ETA),012,012-008
Department of Labor,Job Corps (ETA),012,012-009
Department of Labor,Community Service Employment for Older Americans (ETA),012,012-010
Department of Labor,Trade Adjustment Assistance (ETA),012,012-011
Department of Labor,TAA Community College & Career Training Grants (ETA),012,012-012
Department of Labor,Federal-State Unemployment Insurance System (ETA),012,012-013
Department of Labor,Employment Service (ETA),012,012-014
Department of Labor,Foreign Labor Certification (ETA),012,012-015
Department of Labor,Workforce Information (ETA),012,012-016
Department of Labor,Apprenticeship (ETA),012,012-017
Department of Labor,ETA management and other,012,012-018
Department of Labor,Employee Benefits Security Administration,012,012-019
Department of Labor,Pension Benefit Guaranty Corporation,012,012-020
Department of Labor,Federal Employees’ Compensation Act (OWCP),012,012-021
Department of Labor,Longshore and Harbor Workers Compensation (OWCP),012,012-022
Department of Labor,Energy Employees Occupational Illness Compensation (OWCP),012,012-023
Department of Labor,Coal Mine Workers’ Compensation (OWCP),012,012-024
Department of Labor,OWCP management and other,012,012-025
Department of Labor,Office of Labor Management Standards,012,012-026
Department of Labor,Wage & Hour Division,012,012-027
Department of Labor,Office of Federal Contractor Compliance Programs,012,012-028
Department of Labor,Occupational Safety and Health Administration,012,012-029
Department of Labor,Mine Safety and Health Administration,012,012-030
Department of Labor,Labor Force Statistics (BLS),012,012-031
Department of Labor,Prices and Cost of Living (BLS),012,012-032
Department of Labor,Compensation and Working Conditions (BLS),012,012-033
Department of Labor,Productivity and Technology (BLS),012,012-034
Department of Labor,Executive Direction and Staff Services (BLS),012,012-035
Department of Labor,Solicitor’s Office,012,012-036
Department of Labor,International Labor Affairs Bureau,012,012-037
Department of Labor,Women’s Bureau,012,012-038
Department of Labor,Office of Disability Employment Policy,012,012-039
Department of Labor,Jobs for Veterans State Grants (VETS),012,012-040
Department of Labor,Transition Assistance Program Employment Workshop (VETS),012,012-041
Department of Labor,Homeless Veterans' Reintegration Program (VETS),012,012-042
Department of Labor,Federal Administration & USERRA Enforcement (VETS),012,012-043
Department of Labor,DOL management and other,012,012-044
Department of Labor,Office of Inspector General,012,012-045
Department of State ,Human Resources,014,014-001
Department of State ,Overseas Programs,014,014-002
Department of State ,Diplomatic Policy & Support,014,014-003
Department of State ,Security Programs,014,014-004
Department of State ,Capital Investment Fund,014,014-005
Department of State ,"Embassy Security, Construction and Maintenance",014,014-006
Department of State ,Conflict Stabilization Operations,014,014-007
Department of State ,Office of the Inspector General,014,014-008
Department of State ,Education and Cultural Exchanges Programs,014,014-009
Department of State ,Representation Allowances,014,014-010
Department of State ,Protection of Foreign Missions and Officials,014,014-011
Department of State ,Emergencies in the Diplomatic and Consular Service,014,014-012
Department of State ,Repatriation Loans Program Account,014,014-013
Department of State ,Payment to the American Institute in Taiwan,014,014-014
Department of State ,International Chancery Center,014,014-015
Department of State ,Contributions to International Organizations,014,014-016
Department of State ,Contributions to International Peacekeeping Activities,014,014-017
Department of State ,International Boundary and Water Commission – Salaries and Expenses,014,014-018
Department of State ,International Boundary and Water Commission – Construction ,014,014-019
Department of State ,American Sections,014,014-020
Department of State ,International Fisheries Commission,014,014-021
Department of State ,Related Programs,014,014-022
Department of the Treasury,Executive Direction,015,015-001
Department of the Treasury,International Affairs and Economic Policy,015,015-002
Department of the Treasury,Domestic Finance and Tax Policy,015,015-003
Department of the Treasury,Terrorism and Financial Intelligence (TFI),015,015-004
Department of the Treasury,Treasury-wide Management and Programs,015,015-005
Department of the Treasury,Treasury Forfeiture Fund,015,015-006
Department of the Treasury,Terrorism Risk Insurance Program,015,015-007
Department of the Treasury,Grants for Specified Energy Property,015,015-008
Department of the Treasury,Exchange Stabilization Fund (ESF),015,015-009
Department of the Treasury,Department-wide Systems and Capital Investments Program,015,015-010
Department of the Treasury,Audit,015,015-011
Department of the Treasury,Investigations,015,015-012
Department of the Treasury,Audit,015,015-013
Department of the Treasury,Investigations,015,015-014
Department of the Treasury,Audit,015,015-015
Department of the Treasury,Investigations,015,015-016
Department of the Treasury,Community Development Financial Institutions (CDFI) Program,015,015-017
Department of the Treasury,Bank Enterprise Award (BEA) Program,015,015-018
Department of the Treasury,Native American CDFI Assistance (NACA) Program,015,015-019
Department of the Treasury,Healthy Food Financing Initiative (HFFI),015,015-020
Department of the Treasury,Financial Education and Counseling Pilot Program,015,015-021
Department of the Treasury,Financial Education and Counseling Pilot Program (Hawaii),015,015-022
Department of the Treasury,Capital Magnet Fund ,015,015-023
Department of the Treasury,Bond Guarantee Program,015,015-024
Department of the Treasury,Bank Secrecy Act (BSA) Administration and Analysis,015,015-025
Department of the Treasury,Collecting the Revenue,015,015-026
Department of the Treasury,Protect the Public,015,015-027
Department of the Treasury,Collections,015,015-028
Department of the Treasury,Do Not Pay (DNP) Business Center,015,015-029
Department of the Treasury,Government Agency Investment Services (GAIS),015,015-030
Department of the Treasury,Government-wide Accounting and Reporting (GWA),015,015-031
Department of the Treasury,Payments,015,015-032
Department of the Treasury,Retail Securities Services (RSS),015,015-033
Department of the Treasury,Summary Debt Accounting (SDA),015,015-034
Department of the Treasury,Wholesale Securities Services (WSS),015,015-035
Department of the Treasury,Pre-Filing Taxpayer Assistance and Education,015,015-036
Department of the Treasury,Filing and Account Services,015,015-037
Department of the Treasury,Investigations,015,015-038
Department of the Treasury,Exams and Collections,015,015-039
Department of the Treasury,Regulatory,015,015-040
Department of the Treasury,Shared Services and Support,015,015-041
Department of the Treasury,Information Services,015,015-042
Department of the Treasury,Business Systems and Modernization,015,015-043
Department of the Treasury,Capital Purchase Program (CPP),015,015-044
Department of the Treasury,Targeted Investment Program (TIP),015,015-045
Department of the Treasury,Asset Guarantee Program (AGP),015,015-046
Department of the Treasury,Community Development Capital Initiative,015,015-047
Department of the Treasury,Public-Private Investment Program (PPIP),015,015-048
Department of the Treasury,Term Asset-Backed Securities Loan Facility (TALF),015,015-049
Department of the Treasury,Small Business Administration (SBA) 7(a) Securities Purchase Program,015,015-050
Department of the Treasury,American International Group,015,015-051
Department of the Treasury,Automotive Industry Financing Program (AIFP),015,015-052
Department of the Treasury,Making Home Affordable Program (MHA),015,015-053
Department of the Treasury,Housing Finance Agency (HFA) Hardest-Hit Fund,015,015-054
Department of the Treasury,Federal Housing Administration (FHA)-Refinance Program,015,015-055
Department of the Treasury,Preferred Stock Purchase Agreements (PSPA),015,015-056
Department of the Treasury,GSE Mortgage-Backed Securities (MBS) Purchase Program,015,015-057
Department of the Treasury,Housing Finance Agencies Initiative,015,015-058
Department of the Treasury,Small Business Lending Fund,015,015-059
Department of the Treasury,State Small Business Credit Initiative Program,015,015-060
Department of the Treasury,Financial Stability Oversight Council,015,015-061
Department of the Treasury,Federal Deposit Insurance Corporation Payments,015,015-062
Department of the Treasury,Office of Financial Research,015,015-063
Department of the Treasury,Manufacturing,015,015-064
Department of the Treasury,Manufacturing,015,015-065
Department of the Treasury,Supervise,015,015-066
Department of the Treasury,Regulate,015,015-067
Department of the Treasury,Charter,015,015-068
Department of the Treasury,Federal Financing Bank (FFB),015,015-069
Department of the Treasury,Contribution to the International Development Association (IDA),015,015-070
Department of the Treasury,Contribution to the International Bank for Reconstruction and Development (IBRD),015,015-071
Department of the Treasury,Contribution to the International Finance Corporation,015,015-072
Department of the Treasury,Contribution to the Inter-American Development Bank (IDB and FSO),015,015-073
Department of the Treasury,Contribution to the Multilateral Investment Fund (MIF),015,015-074
Department of the Treasury,Contribution to the Inter-American Investment Corporation (IIC),015,015-075
Department of the Treasury,Contribution to the Asian Development Bank (AsDB),015,015-076
Department of the Treasury,Contribution to the Asian Development Fund (AsDF),015,015-077
Department of the Treasury,Contribution to the African Development Bank (AfDB),015,015-078
Department of the Treasury,Contribution to the African Development Fund (AfDF),015,015-079
Department of the Treasury,Contribution to the European Bank for Reconstruction and Development,015,015-080
Department of the Treasury,Contribution to the North American Development Bank,015,015-081
Department of the Treasury,Contribution to the Global Agriculture and Food Security Program (GAFSP),015,015-082
Department of the Treasury,Contribution to the International Fund for Agricultural Development (IFAD),015,015-083
Department of the Treasury,Contribution to the Clean Technology Fund (CTF),015,015-084
Department of the Treasury,Contribution to the Strategic Climate Funds (SCF),015,015-085
Department of the Treasury,Contribution to the Global Environment Facility (GEF),015,015-086
Department of the Treasury,Bilateral Debt Reduction/Contribution to the HIPC Trust Fund,015,015-087
Department of the Treasury,Contribution to the Multilateral Debt Relief Initiative for IDA,015,015-088
Department of the Treasury,Contribution to the Multilateral Debt Relief Initiative for the AfDF,015,015-089
Department of the Treasury,Tropical Forest Conservation Act (TFCA),015,015-090
Department of the Treasury,Office of Technical Assistance (OTA),015,015-091
Department of the Treasury,"United States Quota, International Monetary Fund (IMF)",015,015-092
Department of the Treasury,Loans to the International Monetary Fund (IMF),015,015-093
Department of the Treasury,Contribution to the Multilateral Investment Guarantee Agency,015,015-094
Social Security Administration,Old Age and Survivors Insurance,016,016-001
Social Security Administration,Disability Insurance,016,016-002
Social Security Administration,Supplemental Security Income,016,016-003
Social Security Administration,Medicare – Administrative Support,016,016-004
Department of Education,Grants to Local Educational Agencies (Title I) (CFDA # 84.010),018,018-001
Department of Education,School Improvement State Grants (CFDA # 84.377),018,018-002
Department of Education,Striving Readers (CFDA # 84.371),018,018-003
Department of Education,Migrant (CFDA # 84.011),018,018-004
Department of Education,Neglected and Delinquent (CFDA # 84.013),018,018-005
Department of Education,Evaluation,018,018-006
Department of Education,"Special Programs for Migrant Students (CFDA # 84.141, 84.149)",018,018-007
Department of Education,High School Graduation Initiative (CFDA # 84.360),018,018-008
Department of Education,Payments for Federally Connected Children,018,018-009
Department of Education,Facilities Maintenance,018,018-010
Department of Education,Construction,018,018-011
Department of Education,Payments for Federal Property,018,018-012
Department of Education,Improving Teacher Quality State Grants (CFDA # 84.367),018,018-013
Department of Education,Mathematics and Science Partnerships (CFDA # 84.366),018,018-014
Department of Education,21st Century Community Learning Centers (CFDA # 84.287),018,018-015
Department of Education,State Assessments (CFDA # 84.369),018,018-016
Department of Education,Education of Homeless Children & Youth (CFDA # 84.196),018,018-017
Department of Education,Education for Native Hawaiians (CFDA # 84.362),018,018-018
Department of Education,Alaska Native Education Equity (CFDA # 84.356),018,018-019
Department of Education,Training and Advisory Services,018,018-020
Department of Education,Rural Education (CFDA # 84.358),018,018-021
Department of Education,Supplemental Education Grants (CFDA # 84.841),018,018-022
Department of Education,Comprehensive Centers (CFDA # 84.283),018,018-023
Department of Education,Grants to Local Educational Agencies (CFDA # 84.060),018,018-024
Department of Education,Special Programs for Indian Children (CFDA # 84.299),018,018-025
Department of Education,National Activities (CFDA # 84.850),018,018-026
Department of Education,Safe & Drug-free Schools and Communities National Programs (CFDA # 84.184),018,018-027
Department of Education,Elementary and Secondary School Counseling (CFDA # 84.215),018,018-028
Department of Education,Physical Education Program (CFDA # 84.215),018,018-029
Department of Education,Promise Neighborhoods (CFDA # 84.215),018,018-030
Department of Education,"Race to The Top Fund (CFDA # 84.395, 84.412, 84.416)",018,018-031
Department of Education,Investing in Innovation Fund (CFDA # 84.396),018,018-032
Department of Education,Teacher Incentive Fund Grants (CFDA # 84.374),018,018-033
Department of Education,Transition to Teaching (CFDA # 84.350),018,018-034
Department of Education,School Leadership (CFDA # 84.363),018,018-035
Department of Education,Charter Schools Grants (CFDA # 84.282),018,018-036
Department of Education,Credit Enhancement for Charter School Facilities (CFDA # 84.354),018,018-037
Department of Education,Magnet Schools Assistance (CFDA # 84.165),018,018-038
Department of Education,Advanced Placement (CFDA # 84.330),018,018-039
Department of Education,Ready-to-Learn Television (CFDA # 84.295),018,018-040
Department of Education,FIE Programs of National Significance (CFDA # 84.215),018,018-041
Department of Education,Arts in Education (CFDA # 84.351) ,018,018-042
Department of Education,English Learner Education (CFDA # 84.365),018,018-043
Department of Education,Grants to States (CFDA # 84.027),018,018-044
Department of Education,Preschool Grants (CFDA # 84.173),018,018-045
Department of Education,Grants for Infants and Families (CFDA # 84.181),018,018-046
Department of Education,State Personnel Development (CFDA # 84.323),018,018-047
Department of Education,Technical Assistance and Dissemination (CFDA # 84.326),018,018-048
Department of Education,Personnel Preparation (CFDA # 84.323),018,018-049
Department of Education,Parent Information Centers (CFDA # 84.328),018,018-050
Department of Education,"Educational, Technology, Media, and Materials (CFDA # 84.327)",018,018-051
Department of Education,Special Olympics Education Programs (CFDA # 84.380),018,018-052
Department of Education,PROMISE: Promoting Readiness of Minors in SSI (CFDA # 84.418P),018,018-053
Department of Education,Vocational Rehabilitation State Grants,018,018-054
Department of Education,Client Assistance State Grants (CFDA # 84.161),018,018-055
Department of Education,Training (CFDA # 84.133),018,018-056
Department of Education,Demonstration and Training Programs (CFDA # 84.235),018,018-057
Department of Education,Migrant and Seasonal Farmworkers (CFDA # 84.128),018,018-058
Department of Education,Protection & Advocacy of Individual Rights (CFDA # 84.240),018,018-059
Department of Education,Supported Employment State Grants (CFDA # 84.187),018,018-060
Department of Education,Independent Living,018,018-061
Department of Education,Helen Keller National Center for Deaf-Blind Youths and Adults (CFDA # 84.904),018,018-062
Department of Education,National Institute on Disability and Rehabilitation Research (CFDA # 84.133),018,018-063
Department of Education,Assistive Technology Programs (CFDA # 84.224),018,018-064
Department of Education,American Printing House for the Blind (CFDA # 84.906),018,018-065
Department of Education,National Technical Institute for the Deaf (CFDA # 84.908),018,018-066
Department of Education,Gallaudet University (CFDA # 84.910),018,018-067
Department of Education,Career and Technical Education State Grants (CFDA # 84.048),018,018-068
Department of Education,National Programs (CFDA # 84.051),018,018-069
Department of Education,Adult Basic and Literacy Education State Grants (CFDA # 84.002),018,018-070
Department of Education,National Leadership Activities (CFDA # 84.051),018,018-071
Department of Education,Federal Pell Grants (CFDA # 84.063),018,018-072
Department of Education,Federal Supplemental Educational Opportunity Grants (SEOG) (CFDA # 84.007),018,018-073
Department of Education,Federal Work-Study (CFDA # 84.033),018,018-074
Department of Education,Iraq and Afghanistan Service Grants (CFDA # 84.408),018,018-075
Department of Education,New Loan Subsidies,018,018-076
Department of Education,TEACH Grants ,018,018-077
Department of Education,Federal Direct Student Loans,018,018-078
Department of Education,Federal Family Education Loans,018,018-079
Department of Education,Strengthening Institutions (CFDA # 84.031),018,018-080
Department of Education,Strengthening Tribally Controlled Colleges and Universities (CFDA # 84.031),018,018-081
Department of Education,Strengthening Alaska Native and Native Hawaii-serving Institutions (CFDA # 84.031),018,018-082
Department of Education,Strengthening HBCUs (CFDA # 84.031),018,018-083
Department of Education,Strengthening Historically Black Graduate Institutions (CFDA # 84.031),018,018-084
Department of Education,Master’s Degree Programs at HBCUs and Predominantly Black Institutions (CFDA # 84.382),018,018-085
Department of Education,Strengthening Predominantly Black Institutions (CFDA # 84.031P; 84.382A),018,018-086
Department of Education,Strengthening Asian American and Native American Pacific Islander-Serving Institutions (CFDA # 84.031L; 84.382B),018,018-087
Department of Education,Strengthening Native American-serving Nontribal Institutions (CFDA # 84.031; 84.382),018,018-088
Department of Education,Minority Science and Engineering Improvement (CFDA # 84.120),018,018-089
Department of Education,Developing Hispanic-Serving Institutions (CFDA # 84.031),018,018-090
Department of Education,Mandatory Developing HIS STEM and Articulation Program (CFDA # 84.031),018,018-091
Department of Education,Prompting Postbaccalaureate Opportunities for Hispanic American (CFDA # 84.031),018,018-092
Department of Education,"International Education and Foreign Language Studies (CFDA # 84.015, 84.016, 84.017, 84.018, 84.019, 84.021, 84.022, 84.153, 84.220, 84.229, 84.274, 84.337)",018,018-093
Department of Education,Fund for the improvement of Postsecondary Education (CFDA # 84.116),018,018-094
Department of Education,Model Transition Programs for Student With Intellectual Disabilities Into Higher Education (CFDA # 84.407),018,018-095
Department of Education,Tribally Controlled Postsecondary Career and Technical Institutions (CFDA # 84.245),018,018-096
Department of Education,"Federal TRIO Program (CFDA # 84.042, 84.044, 84.047, 84.066, 84.217)",018,018-097
Department of Education,Gaining Early Awareness and Readiness for Undergraduate Programs (CFDA # 84.334),018,018-098
Department of Education,Graduate Assistance in Areas of National Need (CFDA # 84.200),018,018-099
Department of Education,Child Care Access Means Parents in School (CFDA # 84.335),018,018-100
Department of Education,Teacher Quality Partnership (CFDA # 84.336),018,018-101
Department of Education,GPRA Data/HEA Program Evaluation (CFDA # 84.895),018,018-102
Department of Education,College Access Challenge Grant Program (CFDA # 84.378A),018,018-103
Department of Education,Howard University (CFDA # 84.915),018,018-104
Department of Education,College Housing and Academic Facilities Loans Program,018,018-105
Department of Education,Historically Black College and University Capital Financing Program (CFDA # 84.951),018,018-106
Department of Education,Research and Statistics,018,018-107
Department of Education,Regional Educational Laboratories,018,018-108
Department of Education,Assessment (CFDA # 84.902),018,018-109
Department of Education,Research in Special Education (CFDA # 84.324),018,018-110
Department of Education,Statewide Data Systems (CFDA # 84.372),018,018-111
Department of Education,Special Education Studies and Evaluations (CFDA # 84.329),018,018-112
Department of Education,Program Administration,018,018-113
Department of Education,Student Aid Administration,018,018-114
Department of Education,Office of Civil Rights,018,018-115
Department of Education,Office of Inspector General,018,018-116
Department of Energy,Advanced Manufacturing Office (formerly Industrial Technologies),019,019-001
Department of Energy,Building Technologies,019,019-002
Department of Energy,Vehicle Technologies,019,019-003
Department of Energy,Weatherization and Intergovernmental Programs,019,019-004
Department of Energy,Bioenergy Technologies (formerly Biomass and Biorefinery R&D),019,019-005
Department of Energy,Geothermal Technology,019,019-006
Department of Energy,Hydrogen and Fuel Cell Technologies,019,019-007
Department of Energy,Solar Energy,019,019-008
Department of Energy,Water Power,019,019-009
Department of Energy,Wind Energy,019,019-010
Department of Energy,Federal Energy Management Program,019,019-011
Department of Energy,Petroleum Reserves,019,019-012
Department of Energy,Fossil Energy R&D,019,019-013
Department of Energy,Nuclear Energy (NE),019,019-014
Department of Energy,Electricity Delivery and Energy Reliability (OE),019,019-015
Department of Energy,Bonneville Power Administration (BPA),019,019-016
Department of Energy,Southeastern Power Administration (SEPA),019,019-017
Department of Energy,Southwestern Power Administration (SWPA),019,019-018
Department of Energy,Western Area Power Administration (WAPA),019,019-019
Department of Energy,Loan Programs (LP),019,019-020
Department of Energy,Advanced Research Projects Agency-Energy (ARPA-E),019,019-021
Department of Energy,Energy Information Administration (EIA),019,019-022
Department of Energy,Advanced Scientific Computing Research,019,019-023
Department of Energy,Basic Energy Sciences,019,019-024
Department of Energy,Biological and Environmental Research,019,019-025
Department of Energy,Fusion Energy Sciences,019,019-026
Department of Energy,High Energy Physics,019,019-027
Department of Energy,Nuclear Physics,019,019-028
Department of Energy,Workforce Development for Teachers and Scientists,019,019-029
Department of Energy,Directed Stockpile Work,019,019-030
Department of Energy,Science Campaign,019,019-031
Department of Energy,Engineering Campaign,019,019-032
Department of Energy,Inertial Confinement Fusion Ignition and High Yield Campaign,019,019-033
Department of Energy,Advanced Simulation and Computing Campaign,019,019-034
Department of Energy,Readiness Campaign,019,019-035
Department of Energy,Nuclear Programs,019,019-036
Department of Energy,Secure Transportation Asset,019,019-037
Department of Energy,Facilities and Infrastructure Recapitalization Program,019,019-038
Department of Energy,Site Stewardship,019,019-039
Department of Energy,Defense Nuclear Security,019,019-040
Department of Energy,NNSA CIO Activities,019,019-041
Department of Energy,Global Threat Reduction Initiative,019,019-042
Department of Energy,International Material Protection and Cooperation,019,019-043
Department of Energy,Fissile Materials Disposition,019,019-044
Department of Energy,Nonproliferation and International Security,019,019-045
Department of Energy,Defense Nuclear Nonproliferation Research and Development,019,019-046
Department of Energy,Nuclear Counterterrorism Incident Response Program,019,019-047
Department of Energy,Counterterrorism and Counterproliferation,019,019-048
Department of Energy,Naval Reactors,019,019-049
Department of Energy,NNSA Office of the Administrator,019,019-050
