Issue,Title,State,Bucket,Native type after triage,Labels,Disposition,URL
6065,USWDS - Bug: Button group back button reading as a link to screen reader,open,documentation,Task,A11Y Audit Findings; A11Y Audit: Fails; A11y Audit; Affects: Accessibility 🟡; Affects: Documentation; Affects: Guidance; Package: Button; Package: Link; Status: Not a Bug,keep,https://github.com/uswds/uswds/issues/6065
6056,USWDS - Bug: Focus trap treats hidden inputs as focusable,open,bug,Bug,Affects: Accessibility 🟡; Context: JavaScript; From: GSA; Package: Modal,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6056
6055,USWDS - Enhancement: Add clarity to combo box instructions,open,documentation,Enhancement,A11Y Audit Findings; Affects: Accessibility 🟡; Affects: Content; Affects: Documentation; Affects: Guidance; Package: Combo Box,keep,https://github.com/uswds/uswds/issues/6055
6054,USWDS - Breadcrumb: Enhance breadcrumb and make current page keyboard focusable,open,research,Bug,A11Y Audit Findings; A11Y Audit: Passes with exceptions; A11y Audit; Affects: Accessibility 🟡; Affects: Usability; Needs: Research; Package: Breadcrumb; Q2 research; Role: Research; Type: Research,keep,https://github.com/uswds/uswds/issues/6054
6034,USWDS Combobox - Feature: Pre-populate options list on page load,open,enhancement,Enhancement,Affects: Performance; Context: JavaScript; Needs: Discussion; Package: Combo Box; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6034
6015,USWDS - Enhancement: Screen readers not announcing ellipses aria-label,open,research,Task,Affects: Accessibility 🟡; Needs: Research; Package: Pagination; Type: Research,keep,https://github.com/uswds/uswds/issues/6015
5993,USWDS - Bug: Consider using the <dialog> element for the Alert component,open,research,Bug,Affects: Accessibility 🟡; Needs: Confirmation; Needs: Discussion; Package: Alert; Type: Research,keep,https://github.com/uswds/uswds/issues/5993
5989,Accessibility audit of complex form guidance,open,research,Task,A11y Audit; Affects: Accessibility 🟡; Affects: Documentation; Affects: Guidance; Type: Research,keep,https://github.com/uswds/uswds/issues/5989
5981,USWDS - Bug: The Pagination buttons cut off at high zoom,open,bug,Bug,Added during Sprint; Affects: Accessibility 🟡; Affects: Display; Context: Sass; From: VA; Package: Pagination; Severity: 2,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5981
5980,USWDS - Sass 2.0.0: Mixed declarations deprecation,open,maintenance,Task,Affects: Compiling; Affects: Dependencies; Context: Sass; Needs: Refinement,keep,https://github.com/uswds/uswds/issues/5980
5976,USWDS - Bug: Footer Identifier on Safari ,open,bug,Bug,Affects: Accessibility 🟡; Affects: Display; Context: Sass; Needs: Confirmation,Named platform or environment needed,https://github.com/uswds/uswds/issues/5976
5945,"USWDS-Site - Feature: Add a ""month"" text input variation option",open,enhancement,Enhancement,Affects: Accessibility 🟡; Affects: Usability; From: VA; Needs: Refinement; Package: Memorable date; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5945
5942,USWDS - Link: Update placement and allow for opt out,open,research,Task,Affects: Accessibility 🟡; Context: Sass; Package: Link; Type: Research; Type: Spike,keep,https://github.com/uswds/uswds/issues/5942
5936,USWDS - Combobox: Input loses `usa-input--error` on initialization,open,bug,Bug,Affects: Display; Affects: Functionality; Context: JavaScript; Needs: Refinement; Package: Combo Box; Role: Dev,Fix proposed: [#6942](https://github.com/uswds/uswds/pull/6942) (partial scope),https://github.com/uswds/uswds/issues/5936
5934,USWDS - Bug: Aspect utilities are always output even when excluded from settings,open,bug,Bug,Affects: Compiling; Affects: Settings; Context: Sass; Package: Utilities,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5934
5931,USWDS - Bug: documentation site missing content and busted,open,documentation,Bug,Affects: Build; Affects: Documentation; Affects: Website,Failure path reproduced by injection,https://github.com/uswds/uswds/issues/5931
5913,USWDS - Bug: $theme-table-header-text-color throws error,open,bug,Bug,Affects: Compiling; Affects: Settings; Context: Sass; Package: Table,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5913
5905,USWDS - Combobox & Timepicker: Verbose and unclear screen reader announcements make selecting and clearing a time difficult for some users,open,bug,Bug,Affects: Accessibility 🟡; Affects: Usability; Needs: Research; Package: Combo Box; Package: Time Picker; Role: Dev; Type: Spike; Usability Testing,Partial reproduction,https://github.com/uswds/uswds/issues/5905
5891,"USWDS - Enhancement: Tooltip needs to announce ""tooltip"" for context",open,enhancement,Enhancement,A11Y Audit Findings; A11y Audit; Affects: Accessibility 🟡; Needs: Research; Package: Tooltip; Status: Not a Bug; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5891
5888,USWDS - Feature: clarify browser support,open,documentation,Enhancement,Affects: Documentation; Affects: Guidance; Needs: Discussion; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5888
5883,USWDS - Bug: buttons in a button group in a form display issue,open,bug,Bug,Affects: Display; Context: Sass; Package: Button; Package: Forms,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5883
5873,USWDS - Bug: Character count doesn't provide persistent character limit instructions ,open,bug,Bug,A11y Audit; Affects: Accessibility 🟡; Affects: Usability; Needs: Confirmation; Package: Character count,Partial reproduction,https://github.com/uswds/uswds/issues/5873
5861,USWDS - Feature: Discover solution for reducing false positives on SiteImprove color contrast warnings on Accordion,open,research,Task,Affects: Accessibility 🟡; Package: Accordion; Type: Research; Type: Spike,keep,https://github.com/uswds/uswds/issues/5861
5858,USWDS - Bug: Form validation does not work within modal,open,bug,Bug,Affects: Functionality; Context: JavaScript; Needs: Refinement; Package: Forms; Package: Modal; Package: Validation,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5858
5850,USWDS - Feature: Support Sass pkg NodePackageImporter entrypoints,open,enhancement,Enhancement,Affects: Compiling; Context: Sass; Type: Feature Request; Type: Spike,keep,https://github.com/uswds/uswds/issues/5850
5834,USWDS - Bug: Search input uses non-standard clear button that is not available in Firefox,open,bug,Bug,Affects: Accessibility 🟡; Needs: Research; Package: Search,Partial reproduction,https://github.com/uswds/uswds/issues/5834
5830,USWDS - Bug: Focus trap doesn't consider elements after initialization,open,bug,Bug,Affects: Accessibility 🟡; Context: JavaScript; Package: Modal,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5830
5828,USWDS - Table: Scrollable tables are not fully accessible with screen readers,open,bug,Bug,A11Y Audit Findings; A11Y Audit: Passes with exceptions; A11y Audit; Affects: Accessibility 🟡; Context: JAWS; Context: NVDA; Needs: Confirmation; Needs: Research; Package: Table,Named platform or environment needed,https://github.com/uswds/uswds/issues/5828
5827,USWDS - Bug: Input mask's text cursor jumps to end on edit,open,bug,Bug,Affects: Usability; Context: JavaScript; Package: Input mask,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5827
5817,USWDS - Feature: Improve accordion flash of content while JavaScript loads,open,enhancement,Enhancement,Affects: Display; Context: Sass; Package: Accordion; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5817
5816,USWDS - Bug: Table default caption not normalized,closed,bug,Bug,Context: Sass; From: VA; Package: Table; Package: Typography,Closed: fixed,https://github.com/uswds/uswds/issues/5816
5813,USWDS - Feature: Increase Tap target size on button.,open,enhancement,Enhancement,Affects: Accessibility 🟡; Affects: Documentation; Affects: Guidance; Context: Sass; From: VA; Package: Button; Role: Dev; Role: UX; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5813
5787,USWDS - Bug: Mobile software keyboard not dismissed after selecting option in Time picker and Combo box component,open,bug,Bug,Affects: Usability; Context: JavaScript; Context: iOS; Needs: Confirmation; Needs: Refinement; Package: Combo Box; Package: Time Picker,Named platform or environment needed,https://github.com/uswds/uswds/issues/5787
5757,USWDS - Bug: Banner may fail 508 testing,open,enhancement,Enhancement,Affects: Accessibility 🟡; Affects: Usability; From: VA; Is: Breaking 🔴; Needs: Discussion; Needs: Research; Package: Banner; Possible future enhancement; Status: Not a Bug,keep,https://github.com/uswds/uswds/issues/5757
5755,USWDS - Bug: shadow function is missing,open,bug,Bug,Affects: Compiling; Affects: Documentation; Affects: Guidance; Context: Sass; Package: Tokens,Fix proposed: [#6943](https://github.com/uswds/uswds/pull/6943),https://github.com/uswds/uswds/issues/5755
5748,USWDS - Bug: Uncaught TypeError: placeholder is undefined,open,bug,Bug,Affects: Functionality; Context: JavaScript; Needs: Confirmation; Package: Input mask,Related failure reproduced,https://github.com/uswds/uswds/issues/5748
5732,Component lifecycle: Define the software development lifecycle,open,maintenance,Task,Affects: Documentation; Affects: Testing,keep,https://github.com/uswds/uswds/issues/5732
5709,Disabled States: Phase 2,open,documentation,Task,Affects: Accessibility 🟡; Affects: Documentation; Affects: Guidance,keep,https://github.com/uswds/uswds/issues/5709
5691,USWDS - Bug: Date Picker and Date Range Picker not being reset,open,bug,Bug,Context: JavaScript; Package: Date Picker; Package: Date Range Picker,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5691
5659,USWDS - Bug: set-link-from-bg mixin does not set active state,open,research,Bug,Affects: Visual Design; Context: Sass; Help wanted; Needs: Research; Package: Link; Role: A11Y; Role: UX; Type: Research,keep,https://github.com/uswds/uswds/issues/5659
5646,USWDS - Bug: Secondary nav tab order does not follow visual order on desktop,open,bug,Bug,Affects: Accessibility 🟡; Affects: Markup 🟡; Package: Header,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5646
5641,USWDS - Enhancement: Choosing a date in the calendar on mobile opens keyboard unnecessarily ,open,enhancement,Enhancement,Affects: Usability; Context: Android; Context: JavaScript; Package: Date Picker; Possible future enhancement; Status: Not a Bug,keep,https://github.com/uswds/uswds/issues/5641
5612,USWDS - Feature: Add a sticky variant for header navigation ,open,enhancement,Enhancement,Needs: Research; Package: Header; Package: Header Nav; Status: Voting Open 👍; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5612
5539,USWDS should not use <abbr> tag as an accessibility pattern with form templates,open,research,Task,Affects: Accessibility 🟡; Affects: Documentation; Needs: Confirmation; Needs: Research; Package: Forms; Role: A11Y; Role: Dev; Type: Research; Type: Spike,keep,https://github.com/uswds/uswds/issues/5539
5529,USWDS - Usability Testing: File input findings,open,research,Task,Affects: Accessibility 🟡; Needs: Discussion; Needs: Refinement; Package: File Input; Role: A11Y; Role: Dev; Type: Research; Usability Testing,keep,https://github.com/uswds/uswds/issues/5529
5527,USWDS - Usability Testing: Links styled as buttons findings,open,research,Task,Affects: Accessibility 🟡; Affects: Documentation; Needs: Discussion; Package: Button; Package: Link; Role: A11Y; Role: Dev; Type: Research; Usability Testing,keep,https://github.com/uswds/uswds/issues/5527
5503,USWDS - Bug: Improve touch gestures in date picker,open,bug,Bug,Affects: Accessibility 🟡; Context: VoiceOver (VO); Context: iOS; Package: Date Picker,Named platform or environment needed,https://github.com/uswds/uswds/issues/5503
5485,Refactor Input Mask: Add unit tests,open,maintenance,Task,Affects: Testing; Context: JavaScript; Package: Input mask,keep,https://github.com/uswds/uswds/issues/5485
5484,Refactor Input Mask: Add JSDocs comments,open,documentation,Task,Affects: Documentation; Package: Input mask,keep,https://github.com/uswds/uswds/issues/5484
5482,USWDS - Input mask: Notify users when `maxlength` has been reached,open,enhancement,Enhancement,Affects: Accessibility 🟡; Complete before freeze; Context: JavaScript; Package: Input mask; Q2 2025; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5482
5481,USWDS - Input Mask refactor: Recovering from an error is difficult due to lack of feedback.,open,enhancement,Enhancement,A11Y Audit: Fails; Affects: Accessibility 🟡; Affects: Language Support; Affects: Usability; Complete before freeze; Package: Input mask; Q2 2025; Role: A11Y; VPAT,keep,https://github.com/uswds/uswds/issues/5481
5480,Refactor Input Mask: Simplify mask pattern method,open,enhancement,Enhancement,Context: JavaScript; Package: Input mask; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5480
5479,Refactor Input Mask: Enable forced casing with attributes,open,enhancement,Enhancement,Context: JavaScript; Package: Input mask; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5479
5473,Review technical information on maturity model page,open,documentation,Task,Added during Sprint; Affects: Accessibility 🟡; Affects: Content; Affects: Documentation; Affects: Website; Needs: Refinement,keep,https://github.com/uswds/uswds/issues/5473
5463,USWDS - Bug: Breadcrumb hidden content/focus at zoom,open,bug,Bug,Affects: Accessibility 🟡; Affects: Display; Context: Sass; Needs: Discussion; Needs: Research; Package: Breadcrumb; VPAT,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5463
5442,📌 Refactor the Input Mask component,open,maintenance,Task,Context: JavaScript; Package: Input mask,keep,https://github.com/uswds/uswds/issues/5442
5375,USWDS - Bug: [Clicking sort button on a header on a nested table executes toggleSort twice],open,bug,Bug,Affects: Functionality; Affects: Markup 🟡; Context: JavaScript; Needs: Discussion; Package: Table; Severity: 2,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/5375
5336,USWDS - Feature: CSS logical properties for multilingual support,open,enhancement,Enhancement,Affects: Accessibility 🟡; Affects: Language Support; Context: Sass; Package: Utilities; Possible future enhancement; Status: Voting Open 👍; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5336
5304,USWDS - File input: Improve file status readout for screen readers,open,research,Task,Affects: Accessibility 🟡; Context: VoiceOver (VO); Package: File Input; Role: A11Y; Role: Dev; Type: Research; Type: Spike,keep,https://github.com/uswds/uswds/issues/5304
5294,USWDS - Bug: Step indicator - 508 issues,open,bug,Bug,Affects: Accessibility 🟡; Affects: Markup 🟡; Context: VoiceOver (VO); Needs: Discussion; Package: Step Indicator; Role: A11Y,Named platform or environment needed,https://github.com/uswds/uswds/issues/5294
5291,"USWDS - Bug: Focus leaps from combo box to Chrome ""Update"" button menu",open,bug,Bug,Affects: Accessibility 🟡; Context: Chrome; Context: JAWS; Needs: Confirmation; Package: Combo Box; Role: A11Y; Status: Blocked 🔴; Status: Can't Reproduce,Named platform or environment needed,https://github.com/uswds/uswds/issues/5291
5277,"USWDS - Feature request: Improve usability of search ""clear"" button and evaluate search input type",open,enhancement,Enhancement,Affects: Usability; Needs: Research; Package: Search; Role: Dev; Role: UX; Status: Voting Open 👍; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/5277
5275,USWDS - Feature: Support responsive images in Hero,open,enhancement,Enhancement,Affects: Performance; Affects: Settings; Needs: Discussion; Package: Hero; Role: Dev; Status: not planned; Type: Feature Request; reconsider later,keep,https://github.com/uswds/uswds/issues/5275
5270,USWDS - Future Bug: Banner references deprecated lock icon on Chromium browsers,open,documentation,Task,Affects: Content; Affects: Documentation; Affects: Visual Design; Context: Chrome; Package: Banner; Possible future enhancement,keep,https://github.com/uswds/uswds/issues/5270
5244,USWDS - Input mask: Evaluate hint text,open,documentation,Enhancement,Affects: Accessibility 🟡; Affects: Content; Affects: Documentation; Affects: Guidance; Package: Input mask; Possible future enhancement,keep,https://github.com/uswds/uswds/issues/5244
5217,USWDS - Core: Update comment style for SASS functions,open,documentation,Enhancement,Affects: Build; Affects: Documentation; Context: Sass; Needs: Discussion,keep,https://github.com/uswds/uswds/issues/5217
5194,USWDS - Bug: Banner button appearance is dependent on the order component CSS files are loaded in,open,bug,Bug,Affects: Display; Context: Sass; Package: Accordion; Package: Banner,Fix proposed: [#6947](https://github.com/uswds/uswds/pull/6947),https://github.com/uswds/uswds/issues/5194
4644,Utilizing CSS variables,open,enhancement,Enhancement,Context: Sass; Needs: Refinement; Package: Tokens; Status: Voting Open 👍; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/4644
4504,Add example markup for range limit labels,open,documentation,Task,Affects: Accessibility 🟡; Affects: Documentation; Affects: Guidance; Affects: Website; Needs: Internal Response 🔴; Needs: Research; Package: Range Slider; Role: A11Y; Role: UX,keep,https://github.com/uswds/uswds/issues/4504
3449,Consider media queries for dark-mode favicon,open,enhancement,Enhancement,Affects: Display; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/3449
